class,subclass,r_id,r_name,classification_notes,additional_info,link
Attribute,Procedural,Has technique,Has technique (SNOMED),"Defines execution technicalities like route of administration, method, or device used. Example: [Personal Wellbeing Score rating] -> [Personal Wellbeing Score rating scale]",Specify the systematic method of an observation.,
Hierarchy,Categorical – down,Has type,Has type,Expands a classification group into its constituent members. Example: [Regional Nodes Positive] -> [Numeric],,
Attribute,Measurement,Has unit of presen,Has unit of presentation (SNOMED),"Defines metrics, scales, units, and quantitative properties of an observation. Example: [Elagolix sodium 300 mg oral capsule] -> [Capsule]",,
Association,Diagnostic,Has variant,Reference to variant,"Links evidence, tests, variants, or clinical findings to support diagnostic reasoning. Example: [Hemolytic disease of fetus OR newborn due to ABO immunization] -> [ABO protein expression measurement]",,
Attribute,Pharmaceutical,Has VMP,Has Virtual Medicinal Product (SNOMED),Qualifies physical drug delivery properties or dose forms.,,
Attribute,Pharmaceutical,Has VRP,Has VRP (SNOMED),Qualifies physical drug delivery properties or dose forms.,,
Association,Therapeutic,HC indication of,HC indication of (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [B-cell acute lymphoblastic leukemia pediatric] -> [Blinatumomab],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Association,Administrative,HCPCS - SNOMED proc,HCPCS is a SNOMED procedure (OMOP),"Operational link for system billing, metadata, dictionaries, or encounter tracking.",,
Association,Therapeutic,Hist adult indic for,Historical adult indication for (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [MALT lymphoma] -> [Chlorambucil monotherapy],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Association,Therapeutic,Hist ped indic for,Historical pediatric indication for (HemOnc),"Links therapeutic interventions to clinical indications or contraindications. Example: [Acute myeloid leukemia pediatric] -> [Cytarabine, Doxorubicin, Vincristine, Prednisolone]",,https://hemonc.org/wiki/HemOncKB_canonical_triples
Attribute,Anatomical,Histology of ICDO,Histology of ICDO,"Spatial qualifier describing location, morphology, or extent. Example: [Myofibroblastic sarcoma] -> [Myofibroblastic sarcoma of overlapping lesion of larynx]",,
Association,Therapeutic,Historic treated by,Historically treated by (HemOnc),Links therapeutic interventions to clinical indications or contraindications.,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Composition,Logical,HOI - MedDRA,HOI contains MedDRA (OMOP),"Conceptual grouping/aggregation of entities (e.g., Q&A, HOI, SMQ, Schema).",,
Composition,Logical,HOI - SNOMED,HOI contains SNOMED (OMOP),"Conceptual grouping/aggregation of entities (e.g., Q&A, HOI, SMQ, Schema). Example: [OMOP Angioedema 1] -> [Angioedema]",,
Association,Mapping,ICD9CM - MedDRA,ICD-9-CM to MedDRA (MSSO),"This bridges adverse-event terminology (MedDRA) and diagnosis codes (ICD9CM), two systems built for different purposes and at different granularity. It is a lossy cross-vocabulary mapping, not a guaranteed 1:1 correspondence.",,
Association,Mapping,ICDO - SNOMED,ICDO - SNOMED,"ICDO is a coarse topography and morphology coding system for cancer registries, while SNOMED is fine-grained clinical terminology. This is a lossy cross-vocabulary mapping, the same shape as OPCS4-SNOMED, not a guaranteed 1:1 correspondence.",,
Hierarchy,Taxonomic – up,ICDO br to OncoTree,ICDO broader to OncoTree,"Inheritance link generalizing to a broader parent. Example: [Intraductal papilloma of pancreas, NOS] -> [Intraductal Oncocytic Papillary Neoplasm (IOPN)]",,
Hierarchy,Categorical – up,ICDO to Chapter,ICDO to Chapter,Assigns a concept to a high-level grouping or classification chapter.,,
Association,Diagnostic,ICDO to Proc Schema,ICDO Condition to Procedure Schema (NAACCR),"Links evidence, tests, variants, or clinical findings to support diagnostic reasoning. Example: [Mixed tumor, malignant, NOS, of unknown primary site] -> [Unknown And Ill-Defined Primary Sites]",,
Hierarchy,Categorical – up,ICDO to Schema,ICDO Condition to Schema (NAACCR),"Assigns a concept to a high-level grouping or classification chapter. Example: [Mixed tumor, malignant, NOS, of unknown primary site] -> [Other and Ill-Defined Sites, Unknown Primary Site]",,
Association,Administrative,Incipient of,Incipient of (DM+D),"Operational link for system billing, metadata, dictionaries, or encounter tracking.",,
Association,Administrative,Included in map from,Standard to Non-standard include child (OMOP),"OMOP-internal mapping-exception bookkeeping (scopes/includes a child concept in a broader Maps to relationship). Describes an exception to a mapping, not an equivalence between the concepts themselves.",,
Hierarchy,Categorical – up,Inferred class of,Inferred drug class of (OMOP),Assigns a concept to a high-level grouping or classification chapter.,,
Attribute,Anatomical,Inherent location of,Inherent location of (SNOMED),"Spatial qualifier describing location, morphology, or extent. Example: [Proximal surgical margin] -> [Histologic grade of dysplasia at proximal surgical margin]",Specify a body site or other location of the independent continuant in which the property exists.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/observable-entity/observable-entity-defining-attributes#inherent-location
Association,Interaction,Inhibits effect,Inhibits effect (NDF-RT),Defines safety or therapeutic interference between agents. Example: [CYPROHEPTADINE] -> [FLUOXETINE HCL 20MG CAP],,
Association,Diagnostic,Interpretation of,Interpretation of (SNOMED),Links diagnostic evidence or tests to a clinical concept/state. Example: [Negative] -> [Rubella non-immune],"Refers to and designates the judgment aspect being evaluated or interpreted (e.g., presence, absence, degree, normality, abnormality, etc.). ",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#has-interpretation
Association,Therapeutic,Is CI of,Is contra-indication of (FDB),Links therapeutic interventions to clinical indications or contraindications.,,
Association,Therapeutic,Is current in,Is currently used in (HemOnc),Links therapeutic interventions to clinical indications or contraindications.,,
Association,Therapeutic,Is FDA-appr ind of,Is FDA-approved indication of (FDB),Links therapeutic interventions to clinical indications or contraindications.,,
Association,Therapeutic,Is hist in adult,Is historical in adult (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [AC-D] -> [Breast cancer],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Association,Therapeutic,Is hist in ped,Is historical in pediatric (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [ABVE] -> [Classical Hodgkin lymphoma pediatric],,
Association,Therapeutic,Is historical in,Is historically used in (HemOnc),Links therapeutic interventions to clinical indications or contraindications.,,
Identity,Near equivalence,Is standard brand of,Is standard Brand Name of (OMOP),"Links commercial or contextually similar entities (e.g., brand names, biosimilars, external maps).",,
Attribute,Pharmaceutical,Is standard form of,Is standard Dose Form of (OMOP),Qualifies physical drug delivery properties or dose forms.,,
Attribute,Pharmaceutical,Is sterile,Is sterile (SNOMED),Qualifies physical drug delivery properties or dose forms. Example: [Polyurethane foam sterile film dressing with non-adhesive border] -> [True],Represents the sterility quality (e.g. sterile or non-sterile) of an object.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/physical-object/physical-object-defining-attributes#is-sterile
Attribute,Pharmaceutical,Is sterile of,Is sterile of (SNOMED),"Qualifies physical drug delivery properties or dose forms. Example: [True] -> [Tracheostomy tube cannula cleaning swab, sterile]",Represents the sterility quality (e.g. sterile or non-sterile) of an object.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/physical-object/physical-object-defining-attributes#is-sterile
Association,Mechanistic,Is transcribed from,mRNA is transcribed from genomic DNA,Links substances to functional biological pathways or mechanisms. Example: [APC transcript: Deletion in position 3317 measurement] -> [APC on GRCh38 chr5: Deletion in position 112838911 measurement],,
Attribute,Clinical,Kind of,Kind of (LOINC),"Qualifies clinical states, statuses (e.g., severity, intent, prescribing status), or general clinical indicators. Example: [Agreement] -> [Mental health Agreement]",,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
Hierarchy,Categorical – up,Legal category of,Legal category of (SNOMED),Assigns a concept to a high-level grouping or classification chapter.,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
Attribute,Procedural,Licensed route of,Licensed route of (DM+D),"Defines execution technicalities like route of administration, method, or device used.",,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
Attribute,Clinical,Life circumstan of,Life circumstance (SNOMED Vet),"Qualifies clinical states, statuses (e.g., severity, intent, prescribing status), or general clinical indicators. Example: [Used as breeding stock] -> [Breeding queen]",,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
Association,Therapeutic,Local therapy of,Local therapy of (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [Carboplatin] -> [TACE monotherapy],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Identity,Version lineage,LOINC replaced by,Concept replaced by (LOINC),Handles lifecycle transitions and deprecated concept history.,,
Identity,Version lineage,LOINC replaces,Concept replaces (LOINC),Handles lifecycle transitions and deprecated concept history.,,
Association,Diagnostic,Manifestation of,Definitional manifestation of (SNOMED),"Links evidence, tests, variants, or clinical findings to support diagnostic reasoning. Example: [Diarrhea] -> [Neonatal calf diarrhoea]",,
Association,Administrative,Map excludes child,Non-standard to Standard exclude child (OMOP),"OMOP-internal mapping-exception bookkeeping (scopes/excludes a child concept from a broader Maps to relationship). Describes an exception to a mapping, not an equivalence between the concepts themselves.",,
Association,Administrative,Map includes child,Non-standard to Standard include child (OMOP),"OMOP-internal mapping-exception bookkeeping (scopes/includes a child concept in a broader Maps to relationship). Describes an exception to a mapping, not an equivalence between the concepts themselves.",,
Identity,Exact equivalence,Mapped from,Standard to Non-standard map (OMOP),Direct semantic identity or mapping rule across different vocabularies. Example: [Emergency Room and Inpatient Visit] -> [Emergency Room and Inpatient Visit],,
Identity,Exact equivalence,Maps to,Non-standard to Standard map (OMOP),Direct semantic identity or mapping rule across different vocabularies. Example: [Emergency Room and Inpatient Visit] -> [Emergency Room and Inpatient Visit],,
Identity,Exact equivalence,Maps to number,Non-standard to value_as_number map (OMOP),Direct semantic identity or mapping rule across different vocabularies.,,
Identity,Exact equivalence,Maps to operator,Non-standard to operator concept map (OMOP),Direct semantic identity or mapping rule across different vocabularies.,,
Identity,Exact equivalence,Maps to type,Non-standard to type concept map (OMOP),Direct semantic identity or mapping rule across different vocabularies.,,
Identity,Exact equivalence,Maps to unit,Non-standard to unit concept map (OMOP),Direct semantic identity or mapping rule across different vocabularies. Example: [Most recent bowel cancer screening] -> [year],,
Identity,Exact equivalence,Maps to value,Non-standard to value_as_concept map (OMOP),Direct semantic identity or mapping rule across different vocabularies. Example: [Other medical devices associated with adverse incidents] -> [Clinical equipment and/or device],,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-PPI#concept-relationships
Association,Interaction,May be inhibited by,Effect may be inhibited by (NDF-RT),Defines safety or therapeutic interference between agents. Example: [FLUOXETINE] -> [CYPROHEPTADINE],,
Association,Therapeutic,May be prevented by,May be prevented by (NDF-RT),Links therapeutic interventions to clinical indications or contraindications. Example: [Invasive Fungal Infections] -> [DOMPERIDONE],,
Attribute,Procedural,May have route,May have route (HemOnc),"Defines execution technicalities like route of administration, method, or device used. Example: [Acetazolamide] -> [Oral]",,
Association,Administrative,MDC cat - DRG,MDC category to DRG (CMS),"Operational link for system billing, metadata, dictionaries, or encounter tracking. Example: [Ungroupable] -> [Heart transplant or implant of heart assist system w MCC]",,
Association,Mechanistic,Metabolism of,Site of metabolism of (NDF-RT),"Links substances to functional biological pathways or mechanisms. Example: [Hepatic Metabolism] -> [WARFARIN NA 2.5MG TAB,UD]",,
Association,Mechanistic,Metabolite of,Active metabolite of (NDF-RT),"Links substances to functional biological pathways or mechanisms. Example: [Morphine] -> [CODEINE PO4 15MG/5ML SOLN,ORAL]",,
Attribute,Procedural,Modality of,Modality of (Hemonc),"Defines execution technicalities like route of administration, method, or device used. Example: [Antibody-drug conjugate therapy] -> [Azacitidine, Vorinostat, Gemtuzumab ozogamicin]",,
Composition,Structural,Modification of,Is modification of (SNOMED),"A salt/ester/hydrate structural relationship between a substance and its modified form, not a deprecated-concept link. Example: [Trilaciclib dihydrochloride] -> [Trilaciclib]",,
Hierarchy,Categorical – up,Module of,Module of,Assigns a concept to a high-level grouping or classification chapter. Example: [US National Library of Medicine maintained module] -> [Open fracture of shaft of second metacarpal bone of left hand],,
Composition,Structural,Multilex has ing,Has ingredient (Multilex),Defines the inherent chemical constituents or dosage strength.,,
Identity,Exact equivalence,NDFRT - RxNorm name,NDF-RT to RxNorm equivalent by concept_name (OMOP),"Explicitly tagged as equivalent, representing exact semantic identity. Example: [ANTITHROMBIN III] -> [antithrombin III]",,
Attribute,Pharmaceutical,NDFRT has dose form,Has dose form (NDF-RT),"Qualifies physical drug delivery properties or dose forms. Example: [HYDROGEN PEROXIDE 3% SPRAY,TOP] -> [Topical Spray]",,
Hierarchy,Categorical – up,Nebraska-CAP cat,Nebraska Lexicon to CAP category,Assigns a concept to a high-level grouping or classification chapter.,,
Association,Therapeutic,NMPA indication of,NMPA indication of (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [Non-small cell lung cancer nonsquamous] -> [Tislelizumab],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Attribute,Clinical,Non-avail ind of,VMP non-availability indicator of (SNOMED),"Qualifies clinical states, statuses (e.g., severity, intent, prescribing status), or general clinical indicators.",,
Association,Administrative,NUCC - CMS Specialty,NUCC to CMS Specialty (CMS),"Operational link for system billing, metadata, dictionaries, or encounter tracking.",,
Identity,Exact equivalence,Number mapped from,Value_as_number to non-standard map (OMOP),Direct semantic identity or mapping rule across different vocabularies.,,
Composition,Structural,Numerator unit of,Presentation strength numerator unit of (SNOMED),Defines the inherent chemical constituents or dosage strength. Example: [Million unit] -> [Product containing precisely lenograstim 13.4 million unit/1 vial powder for conventional release solution for injection],,
Composition,Structural,Numerator value of,Presentation strength numerator value of (SNOMED),Defines the inherent chemical constituents or dosage strength. Example: [Eight thousand] -> [Product containing precisely epoetin alfa 8000 unit/0.8 milliliter conventional release solution for injection syringe],,
Association,Therapeutic,Occurrence of,Occurrence of (SNOMED),Links therapeutic interventions to clinical indications or contraindications. Example: [Childhood - period] -> [Benign occipital epilepsy of childhood - late onset variant],"Occurrence (attribute) is applied to procedures during a period of life. For example, procedures related to the gravid uterus should be modeled by the combination of the occurrence of the maternal pregnancy period and the uterus.",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#occurrence
Attribute,Temporal,Occurs after,Occurs after (SNOMED),"Qualifies clinical events by their timing, sequence, or duration. Example: [Vomiting after gastrointestinal tract surgery] -> [Operation on gastrointestinal tract]",,
Association,Mapping,OPCS4 - SNOMED,OPCS4 to SNOMED equivalent or categorical (NHS),"Per its own r_name, this bundles true 1:1 equivalences together with loose categorical or broader mappings, used when no clean OPCS4-to-SNOMED equivalent exists. It is a no-clean-mapping fallback, not a trustworthy equivalence.",,
Identity,Exact equivalence,Operator mapped from,Operator concept to non-standard map (OMOP),Direct semantic identity or mapping rule across different vocabularies.,,
Association,Administrative,Paral imprt ind,Has NHS dm+d parallel import indicator,"Operational link for system billing, metadata, dictionaries, or encounter tracking.",,
Association,Administrative,Paral imprt of,NHS dm+d parallel import indicator of,"Operational link for system billing, metadata, dictionaries, or encounter tracking.",,
Attribute,Measurement,Permiss range of,Permissible range of,"Defines metrics, scales, units, and quantitative properties of an observation. Example: [0-120] -> [Age at Diagnosis]",,
Composition,Containment,Pharma prep in,Pharmaceutical preparation contained in (NDF),Links items to their physical packaging or multi-item kit groupings.,,
Association,Mechanistic,Physiol effect by,Physiological effect induced by (NDF-RT),"Links substances to functional biological pathways or mechanisms. Example: [Increased Diuresis at Loop of Henle] -> [FUROSEMIDE 1MG/ML/NACL 0.9%INJ,SOLN,BAG,100ML]",,
Association,Mechanistic,Physiol state of,Physiologic state of (SNOMED Vet),Links substances to functional biological pathways or mechanisms. Example: [Male] -> [Adult male dog for breeding],,
Association,Mechanistic,PK of,Pharmacokinetics of (NDF-RT),"Links substances to functional biological pathways or mechanisms. Example: [Hepatic Metabolism] -> [IBUPROFEN 50MG/1.25ML SUSP,ORAL]",,
Association,Therapeutic,PMDA indication of,PMDA indication of (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [Esophageal squamous cell carcinoma] -> [Pembrolizumab],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Association,Administrative,PoS - Visit cat,Place of Service to Visit category (OMOP),"Operational link for system billing, metadata, dictionaries, or encounter tracking.",,
Hierarchy,Categorical – up,PPI parent code of,PPI parent code of,Assigns a concept to a high-level grouping or classification chapter. Example: [Did you receive the COVID-19 vaccination?] -> [Which vaccine did you receive?],,
Attribute,Temporal,Precondition of,Precondition of (SNOMED),"Qualifies clinical events by their timing, sequence, or duration. Example: [Fistula of intestine] -> [Volume of drainage of intestinal fistula]","Specify body state, timing, challenges, or other situations that must be true of the entity to be observed.",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/observable-entity/observable-entity-defining-attributes#precondition
Composition,Logical,Precoord pair of,Precoordinated (Question-Answer/Variable-Value) pair of,"Conceptual grouping/aggregation of entities (e.g., Q&A, HOI, SMQ, Schema). Example: [RASS scale: +4 (Combative)] -> [Richmond Agitation-Sedation Scale]",,
Attribute,Procedural,Proc device of,Procedure device of (SNOMED),"Defines execution technicalities like route of administration, method, or device used. Example: [Echoendoscope] -> [Endoscopic ultrasonography guided fine needle aspiration]","Procedure device (attribute) is used to model devices associated with a procedure. This attribute is used to define high-level, general concepts that aggregate procedures according to the device involved.",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#procedure-device
Association,Diagnostic,Proc duration of,Process duration of,"Links evidence, tests, variants, or clinical findings to support diagnostic reasoning. Example: [6 minutes] -> [6 minute walk test distance]",,
Composition,Logical,Proc Schema to ICDO,Procedure Schema to ICDO Condition (NAACCR),"This links a cancer-registry anatomic schema (a grouping construct) to one of many possible specific conditions occurring at that site, not an equivalent concept. Its own example shows this clearly: [Liver and Intrahepatic Bile Ducts] is a broad anatomic schema, while [Precursor cell lymphoblastic lymphoma, NOS, of liver] is one specific malignancy that can occur there. This fits the same conceptual-grouping family as Schema to Variable/Variable to Schema.",,
Association,Diagnostic,Process extends from,Process extends from (SNOMED),"Links evidence, tests, variants, or clinical findings to support diagnostic reasoning. Example: [Structure of lymphatic vessel and/or small blood vessel] -> [Presence of direct invasion by primary malignant neoplasm of jejunum to lymphatic vessel and/or small blood vessel]",Specify the substance or process produced by the process characterized by the observable property type.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/observable-entity/observable-entity-defining-attributes#process-extends-to
Association,Diagnostic,Process extends to,Process extends to (SNOMED),"Links evidence, tests, variants, or clinical findings to support diagnostic reasoning. Example: [Presence of direct invasion by primary malignant neoplasm of prostate to seminal vesicle] -> [Seminal vesicle structure]",Specify the substance or process produced by the process characterized by the observable property type.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/observable-entity/observable-entity-defining-attributes#process-extends-to
Attribute,Measurement,Property of,Property of,"Defines metrics, scales, units, and quantitative properties of an observation. Example: [Histologic feature (property)] -> [Architectural pattern of ductal carcinoma in situ in breast]",,
Hierarchy,Categorical – up,Property type of,Property type of,Assigns a concept to a high-level grouping or classification chapter. Example: [Number rate] -> [Minimum pulse rate],,
Attribute,Pharmaceutical,Quantified form of,Quantified form of (RxNorm),Qualifies physical drug delivery properties or dose forms. Example: [0.5 ML hepatitis B immune globulin 217 UNT/ML Prefilled Syringe [Bayhep B]] -> [hepatitis B immune globulin 217 UNT/ML Prefilled Syringe [Bayhep B]],Quantifier for a drug concept,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-RXNORM_EXTENSION#result
Composition,Structural,Radioconjugate of,Radioconjugate of (HemOnc),"Defines the inherent chemical constituents or dosage strength. Example: [Ibritumomab tiuxetan] -> [(90)YFC, then allo HSCT (rituximab-pvvr)]",,https://hemonc.org/wiki/HemOncKB_canonical_triples
Association,Therapeutic,Radiotherapy of,Radiotherapy of (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [Lutetium Lu 177 vipivotide tetraxetan] -> [Lutetium Lu 177 vipivotide tetraxetan monotherapy],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Hierarchy,Categorical – up,Recipient cat of,Recipient category of (SNOMED),Assigns a concept to a high-level grouping or classification chapter. Example: [Live donor for lung transplant] -> [Harvesting of lobe of lung from living donor],Recipient category (attribute) specifies the type of individual or group upon which the action of the procedure is performed.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#recipient-category
Composition,Structural,Reformulated in,Reformulated in (RxNorm),"Links an older drug formulation to its reformulated version. This is a substance or modified-form relationship, in the same family as Modification of.",,
Hierarchy,Categorical – up,Regimen type of,Regimen type of (HemOnc),Assigns a concept to a high-level grouping or classification chapter.,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Composition,Physical,Relative part of,Relative part of (SNOMED),Physical material assembly or structural part-whole relationship. Example: [Structure of brachial artery] -> [Ankle brachial pressure index],,
Attribute,Anatomical,Relative to,Relative to (SNOMED),"Spatial qualifier describing location, morphology, or extent. Example: [Percentage of primary malignant neoplasm of prostate in resected prostate specimen] -> [Tissue specimen obtained by excision]","Specify the denominator of a relational property type, e.g. a ratio or proportion.",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/observable-entity/observable-entity-defining-attributes#relative-to
Attribute,Anatomical,Relative to of,Relative to of (SNOMED),"Spatial qualifier describing location, morphology, or extent. Example: [Non-invasive papillary urothelial carcinoma, low-grade] -> [Surgical margin involved by low grade noninvasive papillary urothelial carcinoma in ureterectomy specimen]","Specify the denominator of a relational property type, e.g. a ratio or proportion.",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/observable-entity/observable-entity-defining-attributes#relative-to
Attribute,Pharmaceutical,Release charact of,Dose form release characteristic of (SNOMED),Qualifies physical drug delivery properties or dose forms. Example: [Modified-release] -> [Modified-release oral capsule],,
Attribute,Context,Role of,Role of (LOINC),"Specific situational modifier or contextual role. Example: [Patient] -> [Patient Goals, preferences, and priorities for care experience]",,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
Attribute,Context,Role played by,Role played by,Specific situational modifier or contextual role. Example: [Insecticide therapeutic role] -> [Acephate-containing product],,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
Association,Therapeutic,Rx AB-drug cjgt of,RxNorm antibody-drug conjugate of (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [tisotumab] -> [Tisotumab vedotin monotherapy],,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
Association,Therapeutic,Rx antineopl of,RxNorm antineoplastic of (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [Fam-trastuzumab deruxtecan] -> [Trastuzumab deruxtecan monotherapy],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Association,Therapeutic,Rx endocrine tx of,RxNorm endocrine therapy of (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [relugolix] -> [Relugolix monotherapy],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Association,Therapeutic,Rx immunosuppr of,RxNorm immunosuppressor of (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [belumosudil] -> [Belumosudil monotherapy],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Association,Therapeutic,Rx immunotherapy of,RxNorm immunotherapy of (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [ropeginterferon alfa-2b] -> [Ropeginterferon alfa-2b monotherapy],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Association,Therapeutic,Rx local therapy of,RxNorm local therapy of (HemOnc),"Links therapeutic interventions to clinical indications or contraindications. Example: [Cytarabine liposomal] -> [Cytarabine, Methotrexate, Rituximab]",,https://hemonc.org/wiki/HemOncKB_canonical_triples
Association,Therapeutic,Rx PDC of,RxNorm PDC of (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [melphalan flufenamide] -> [Melphalan flufenamide and Dexamethasone],,
Association,Administrative,Rx pept-drg cjg of,RxNorm peptide-drug conjugate of (HemOnc),"Operational link for system billing, metadata, dictionaries, or encounter tracking. Example: [melphalan flufenamide] -> [Melphalan flufenamide and Dexamethasone]",,https://hemonc.org/wiki/HemOncKB_canonical_triples
Association,Therapeutic,Rx radiocjgt of,RxNorm radioconjugate of (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [ibritumomab tiuxetan] -> [Ibritumomab tiuxetan protocol (rituximab-rixi)],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Association,Therapeutic,Rx steroid tx of,RxNorm steroid therapy of (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [methylprednisolone] -> [HDMP-R (rituximab-rite)],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Association,Therapeutic,Rx support med of,RxNorm Supportive medication of (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [Rho(D) immune globulin] -> [RhIG monotherapy],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Association,Therapeutic,Rx targeted tx of,RxNorm targeted therapy of (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [belzutifan] -> [Belzutifan monotherapy],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Association,Mapping,RxNorm - ATC,RxNorm to ATC,"This connects a drug product to an ATC class, not an ingredient, so it is often coarser than its near-equivalence label suggests. Its own example shows a 7-ingredient combination product mapping to the ATC class of just one of those ingredients, which is not a faithful equivalence. Example: [AESCULUS HIPPOCASTANUM SEED OIL / cupric acetate / Epinephrine / Ergot Alkaloids / Helleborus niger whole extract / Potentilla anserina whole extract / tobacco leaf extract Oral Solution] -> [epinephrine; local oral]","Connects ATC Classes and Drug Products, but not Ingredients",https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-ATC#other-information
Identity,Exact equivalence,RxNorm - ATC name,RxNorm to ATC equivalent by concept_name (OMOP),"Explicitly tagged as equivalent, representing exact semantic identity.",,
Identity,Near equivalence,RxNorm - ATC pr lat,RxNorm/Extension to ATC pr lateral (OMOP),Lateral cross-domain link (primary active ingredient to class). Example: [Umifenovir] -> [umifenovir; oral],"Connects Monocomponent ATC Class with its full semantic equivalent in the form of the main active Standard Ingredient.
Connects the 1st active ingredient of the ATC Polycomponent ATC Class with Standard Ingredient. 
Can be used for a group of similar ingredients (e.g. senna glycosides, estrogens)",https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-ATC#other-information
Identity,Near equivalence,RxNorm - ATC sec lat,RxNorm/Extension to ATC secondary lateral (OMOP),"Lateral cross-domain link (primary active ingredient to class). Example: [rubella virus vaccine live (Wistar RA 27-3 strain)] -> [measles, combinations with mumps and rubella, live attenuated; parenteral]",Connects the 2nd active ingredient OR any subsequent active ingredient of a Multicomponent ATC Class to Rx/RxE Ingredient.,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-ATC#other-information
Hierarchy,Categorical – up,RxNorm - ATC sec up,RxNorm/Extension to ATC secondary upwards (OMOP),"Structural map rolling an RxNorm ingredient up to a broader ATC class. Example: [meningococcal group A polysaccharide] -> [tetanus toxoid, combinations with diphtheria toxoid; parenteral]",Connects the 2nd Ingredient Group OR any subsequent Ingredient Group OR NOT mentioned and unspecified list of Ingredients which can be in combination with Primary lateral or Primary upward ATC Classes to respective Rx/RxN Ingredients.,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-ATC#other-information
